DatasetID,Stock,Grid,Random,SMBO,Stock_Time,Grid_Time,Random_Time,SMBO_Time,SMBO_Gaussian_Scores,SMBO_Best_Gaussian_Scores
8,0.14,0.23,0.22,0.23,0.0016582012176513672,3.5124289989471436,3.0515031814575195,1.272475242614746,"[0.06811080657145974, 0.04102158379152687, 0.05307970475875923, 0.047477187386521735, 0.12622371032047663, 0.04363100311268109, 0.054181641844748496, 0.02770501939214065, 0.12097336564778449, 0.08526972641516706, 0.07691474363592654, 0.15334640447807024, 0.1049280170797624, 0.17290482421774278, 0.23122510911840133, 0.1537400835100664, 0.05406125934760442, 0.10709601185535245, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.15636735061737006, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133]","[0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.16141341470222226, 0.17290482421774278, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133, 0.23122510911840133]"
560,0.45,0.75,0.75,0.76,0.0011107921600341797,1.0567786693572998,1.0254173278808594,1.719120979309082,"[0.7561455112377355, 0.7552300633892879, 0.7531725077530332, 0.7574650056639844, 0.7574295595509608, 0.7539161045591181, 0.7551168232566167, 0.7554013389155338, 0.7544622079750019, 0.7526674931275945, 0.7384411242861599, 0.736475709709151, 0.733986555719644, 0.7553960069205639, 0.7553305764496694, 0.7328514221099283, 0.7503518701674285, 0.7564090119892235, 0.7575631099487818, 0.755929284986419, 0.749003910154824, 0.7179703088780217, 0.7567600174105497, 0.7558333448300489, 0.7424404475132174, 0.7554320683727004, 0.7554121972995833, 0.7568357857928039, 0.7575631099487818, 0.7448509435054983, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818]","[0.7564563496649692, 0.7564563496649692, 0.7564563496649692, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7574650056639844, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818, 0.7575631099487818]"
1090,0.53,0.45,-0.9,0.49,0.0005121231079101562,0.6979801654815674,0.4579339027404785,0.9888091087341309,"[-1.376886340779726, -0.6342499871519325, -0.5210912494323567, -1.0538322071855566, -0.2298061835880516, -0.5761338265476375, -0.6777685492513901, -1.180171577820675, -0.3922762101837123, -0.6882957786336596, -0.5209216133598031, -0.9603648787035917, -0.7162857054301037, -0.4910535124154489, 0.09120593105694685, -0.07457037333785732, -0.7894098609942499, -0.904011466277995, -0.6302278928985605, -0.5849392667006683, -0.7958601249349795, -0.3245764041242587, -0.8272347162980618, -0.5774189459880841, 0.26819193343933156, 0.3896499242981115, 0.4247585878596185, 0.47073224287160187, -0.7885470981004166, -0.5166669975940075, 0.43827577425945263, 0.08454356245490979, 0.2548035961181141, -0.0767481014410325, 0.386032888946509, 0.4616687602124099, -0.328834126723174, 0.2552775634405535, 0.36471870422843744, -0.7823608732110563, -0.09930139814134731, 0.259952950643101, 0.39627344276144116, -0.9698341371329537, 0.21865515778608968, -0.12944891680586634, 0.4768291835455203, 0.43234832358535136, 0.4915369757550222, 0.26795461117430663, -0.032749960159431435, 0.25276647435422295, 0.402403283852676, 0.4267495195412784, 0.4584978345703815, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222]","[0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.4458944130350492, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.47073224287160187, 0.4768291835455203, 0.4768291835455203, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222, 0.4915369757550222]"
44223,0.14,0.37,0.35,0.4,0.002295255661010742,3.17455792427063,3.004035234451294,1.8061168193817139,"[0.29005015921804833, 0.2429385264651267, 0.20834189833351147, 0.16502182953956934, 0.12397109351049396, 0.11604384522689104, 0.10979505685081115, 0.0670333566061323, 0.02000962231704939, 0.05207485403181089, 0.3166420202337492, 0.19764421761921747, 0.2725805042335636, 0.34553924756954935, 0.31897862802286736, 0.2796863335562788, 0.365806874755073, 0.12276227148053809, 0.26972157294315025, 0.3901343406457456, 0.3214825865483355, 0.3976298735023126, 0.3974399281999499, 0.2842830512493527, 0.24410436415560954, 0.39672354828837675, 0.39814120481546067, 0.3954636458152244, 0.3976839274633934, 0.3304692259120855, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.2730295111868949, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067]","[0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.3979428911349807, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067, 0.39814120481546067]"
