DatasetID,Stock,Grid,Random,SMBO,Stock_Time,Grid_Time,Random_Time,SMBO_Time
1464,0.73,0.7,0.69,0.77,0.0036611557006835938,3.4339001178741455,2.3868889808654785,3.175830125808716
1491,0.76,0.81,0.81,0.84,0.11047124862670898,44.716249227523804,39.087133169174194,19.624599933624268
1494,0.82,0.84,0.83,0.85,0.009912967681884766,6.533787250518799,8.168216228485107,3.608158826828003
1504,0.67,0.67,0.67,0.67,0.04280495643615723,27.23335599899292,26.362428903579712,14.774359941482544
1063,0.84,0.78,0.78,0.79,0.0018351078033447266,2.03459095954895,1.9002323150634766,3.586473226547241
