DatasetID,Stock,Grid,Random,SMBO,Stock_Time,Grid_Time,Random_Time,SMBO_Time
1464,0.78,0.73,0.73,0.77,0.04313325881958008,0.2365260124206543,3.4685816764831543,3.273813009262085
1491,0.6,0.5,0.36,0.47,1.049267053604126,43.77914476394653,1206.3229088783264,455.0621807575226
1494,0.84,0.71,0.71,0.83,1.2484610080718994,11.926108121871948,33.30968999862671,104.46287894248962
1504,0.66,0.67,0.67,0.67,0.34702277183532715,2.8393261432647705,56.39235806465149,19.539407968521118
1063,0.77,0.78,0.78,0.78,0.18022680282592773,1.6231269836425781,14.39369511604309,13.836329936981201
